North Carolina,Alamance,1
North Carolina,Brunswick,2
North Carolina,Cabarrus,2
North Carolina,Catawba,1
North Carolina,Chatham,3
North Carolina,Craven,1
North Carolina,Cumberland,2
North Carolina,Davidson,1
North Carolina,Durham,35
North Carolina,Forsyth,7
North Carolina,Franklin,4
North Carolina,Gaston,1
North Carolina,Guilford,4
North Carolina,Harnett,6
North Carolina,Hoke,1
North Carolina,Iredell,2
North Carolina,Johnston,2
North Carolina,Lee,1
North Carolina,Lincoln,1
North Carolina,Mecklenburg,43
North Carolina,Moore,2
North Carolina,New Hanover,1
North Carolina,Onslow,1
North Carolina,Orange,4
North Carolina,Pasquotank,1
North Carolina,Pitt,2
North Carolina,Rowan,2
North Carolina,Sampson,1
North Carolina,Union,2
North Carolina,Wake,25
North Carolina,Watauga,2
North Carolina,Wayne,1
North Carolina,Wilson,2
